check_id,check_syntax,description
806,invalid_count({column_name}) != {threshold}:\n  - invalid format: negative percentage point,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is not a negative number is a percentage with a period (.) decimal indicator."
807,invalid_count({column_name}) <> {threshold}:\n  - invalid format: negative percentage point,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is not a negative number is a percentage with a period (.) decimal indicator."
808,invalid_count({column_name}) between {threshold}:\n  - invalid format: negative percentage point,"Checks if the invalid count for {column_name} is between the given {threshold}, ensuring the format is not a negative number is a percentage with a period (.) decimal indicator."
809,invalid_count({column_name}) not between {threshold}:\n  - invalid format: negative percentage point,"Checks if the invalid count for {column_name} is not between the given {threshold}, ensuring the format is not a negative number is a percentage with a period (.) decimal indicator."
810,invalid_count({column_name}) = {threshold}:\n  - invalid format: percentage comma,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is not a percentage."
811,invalid_count({column_name}) < {threshold}:\n  - invalid format: percentage comma,"Checks if the invalid count for {column_name} is less than the given {threshold}, ensuring the format is not a percentage."
812,invalid_count({column_name}) > {threshold}:\n  - invalid format: percentage comma,"Checks if the invalid count for {column_name} is exceeds the given {threshold}, ensuring the format is not a percentage."
813,invalid_count({column_name}) <= {threshold}:\n  - invalid format: percentage comma,"Checks if the invalid count for {column_name} is less or falls within the given {threshold}, ensuring the format is not a percentage."
814,invalid_count({column_name}) >= {threshold}:\n  - invalid format: percentage comma,"Checks if the invalid count for {column_name} exceeds or falls within the given {threshold}, ensuring the format is not a percentage."
815,invalid_count({column_name}) != {threshold}:\n  - invalid format: percentage comma,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is not a percentage."
816,invalid_count({column_name}) <> {threshold}:\n  - invalid format: percentage comma,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is not a percentage."
817,invalid_count({column_name}) between {threshold}:\n  - invalid format: percentage comma,"Checks if the invalid count for {column_name} is between the given {threshold}, ensuring the format is not a percentage."
818,invalid_count({column_name}) not between {threshold}:\n  - invalid format: percentage comma,"Checks if the invalid count for {column_name} is not between the given {threshold}, ensuring the format is not a percentage."
819,invalid_count({column_name}) = {threshold}:\n  - invalid format: percentage point,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is not a percentage."
820,invalid_count({column_name}) < {threshold}:\n  - invalid format: percentage point,"Checks if the invalid count for {column_name} is less than the given {threshold}, ensuring the format is not a percentage."
821,invalid_count({column_name}) > {threshold}:\n  - invalid format: percentage point,"Checks if the invalid count for {column_name} is exceeds the given {threshold}, ensuring the format is not a percentage."
822,invalid_count({column_name}) <= {threshold}:\n  - invalid format: percentage point,"Checks if the invalid count for {column_name} is less or falls within the given {threshold}, ensuring the format is not a percentage."
823,invalid_count({column_name}) >= {threshold}:\n  - invalid format: percentage point,"Checks if the invalid count for {column_name} exceeds or falls within the given {threshold}, ensuring the format is not a percentage."
824,invalid_count({column_name}) != {threshold}:\n  - invalid format: percentage point,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is not a percentage."
825,invalid_count({column_name}) <> {threshold}:\n  - invalid format: percentage point,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is not a percentage."
826,invalid_count({column_name}) between {threshold}:\n  - invalid format: percentage point,"Checks if the invalid count for {column_name} is between the given {threshold}, ensuring the format is not a percentage."
827,invalid_count({column_name}) not between {threshold}:\n  - invalid format: percentage point,"Checks if the invalid count for {column_name} is not between the given {threshold}, ensuring the format is not a percentage."
828,invalid_count({column_name}) = {threshold}:\n  - invalid format: percentage,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is not a percentage."
829,invalid_count({column_name}) < {threshold}:\n  - invalid format: percentage,"Checks if the invalid count for {column_name} is less than the given {threshold}, ensuring the format is not a percentage."
830,invalid_count({column_name}) > {threshold}:\n  - invalid format: percentage,"Checks if the invalid count for {column_name} is exceeds the given {threshold}, ensuring the format is not a percentage."
831,invalid_count({column_name}) <= {threshold}:\n  - invalid format: percentage,"Checks if the invalid count for {column_name} is less or falls within the given {threshold}, ensuring the format is not a percentage."
832,invalid_count({column_name}) >= {threshold}:\n  - invalid format: percentage,"Checks if the invalid count for {column_name} exceeds or falls within the given {threshold}, ensuring the format is not a percentage."
833,invalid_count({column_name}) != {threshold}:\n  - invalid format: percentage,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is not a percentage."
834,invalid_count({column_name}) <> {threshold}:\n  - invalid format: percentage,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is not a percentage."
835,invalid_count({column_name}) between {threshold}:\n  - invalid format: percentage,"Checks if the invalid count for {column_name} is between the given {threshold}, ensuring the format is not a percentage."
836,invalid_count({column_name}) not between {threshold}:\n  - invalid format: percentage,"Checks if the invalid count for {column_name} is not between the given {threshold}, ensuring the format is not a percentage."
837,invalid_count({column_name}) = {threshold}:\n  - invalid format: phone number,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is not a standard phone number"
838,invalid_count({column_name}) < {threshold}:\n  - invalid format: phone number,"Checks if the invalid count for {column_name} is less than the given {threshold}, ensuring the format is not a standard phone number"
839,invalid_count({column_name}) > {threshold}:\n  - invalid format: phone number,"Checks if the invalid count for {column_name} is exceeds the given {threshold}, ensuring the format is not a standard phone number"
840,invalid_count({column_name}) <= {threshold}:\n  - invalid format: phone number,"Checks if the invalid count for {column_name} is less or falls within the given {threshold}, ensuring the format is not a standard phone number"
841,invalid_count({column_name}) >= {threshold}:\n  - invalid format: phone number,"Checks if the invalid count for {column_name} exceeds or falls within the given {threshold}, ensuring the format is not a standard phone number"
842,invalid_count({column_name}) != {threshold}:\n  - invalid format: phone number,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is not a standard phone number"
843,invalid_count({column_name}) <> {threshold}:\n  - invalid format: phone number,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is not a standard phone number"
844,invalid_count({column_name}) between {threshold}:\n  - invalid format: phone number,"Checks if the invalid count for {column_name} is between the given {threshold}, ensuring the format is not a standard phone number"
